VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	MARIEVILLE	ST HYACINTHE 2	IBERVILLE	FARNHAM	SABREVOIS	STE MADELEINE	FLEURY	ST GUILLAUME	STE MARTINE	GRANBY	ST NAZAIRE	DRUMMONDVILLE	PHILIPSBURG	ST BERNARD DE LACOLLE	RICHMOND
Min Temp (deg C)	2011	8	24	4	1.16	17.1		18.0	16.0		17.5	14.0								
Min Temp (deg C)	2011	8	25	4	1.12	19.4	19.8	19.0		19.5	19.5									
Min Temp (deg C)	2011	8	26	4	1.12	15.6	15.4	16.0		16.0	14.0									
Min Temp (deg C)	2011	8	27	4	1.27	11.7	11.7		12.0		11.5	9.5								
Min Temp (deg C)	2011	8	28	4	1.16	14.3	14.5		14.0	14.0	14.0									
Min Temp (deg C)	2011	8	29	4	1.12	12.5	13.0	12.0		12.5	13.0									
Min Temp (deg C)	2011	8	30	4	1.27	12.4	11.8		12.2		13.0	11.0								
Min Temp (deg C)	2011	8	31	4	1.27	11.1	11.2		10.8		11.0	10.0								
Min Temp (deg C)	2011	9	1	4	1.27	11.2	12.3		10.5		11.0	10.0								
Min Temp (deg C)	2011	9	2	4	1.39	16.2	15.5				16.5	15.0	17.0							
Min Temp (deg C)	2011	9	3	4	1.12	20.8	20.7	20.5		21.0	21.0									
Min Temp (deg C)	2011	9	4	4	1.12	19.0	18.2	19.5		19.5	18.0									
Min Temp (deg C)	2011	9	5	4	1.12	16.5	16.5	16.5		16.0	17.0									
Min Temp (deg C)	2011	9	6	4	1.12	13.3	13.5	13.5		13.0	13.0									
Min Temp (deg C)	2011	9	7	4	1.16	12.0	12.4		12.0	12.0	11.0									
Min Temp (deg C)	2011	9	8	4	1.16	14.2	14.0	14.5	13.8	14.0										
Min Temp (deg C)	2011	9	9	4	1.12	12.1	12.0	12.5		11.5	12.0									
Min Temp (deg C)	2011	11	21	4	1.16	-5.3	-5.6		-5.0	-5.5	-6.0									
Min Temp (deg C)	2011	12	5	4	1.16	6.4	6.5		6.0	6.0	6.5									
Min Temp (deg C)	2011	12	9	4	1.3	-1.7					-3.0	-1.0	-2.5	-1.0						
Min Temp (deg C)	2011	12	12	4	1.12	-1.3	-2.0	-1.0		-0.5	-2.5									
Min Temp (deg C)	2011	12	23	4	1.16	-7.4	-7.8		-8.0	-6.0	-10.0									
Min Temp (deg C)	2012	1	9	4	1.14	-12.9	-13.0	-12.0	-16.0		-12.0									
Min Temp (deg C)	2012	1	16	4	1.28	-22.6	-25.1				-21.0	-25.0		-21.5						
Min Temp (deg C)	2012	1	20	4	1.19	-16.5	-18.0			-16.0	-17.0	-16.5								
Min Temp (deg C)	2012	1	29	4	1.12	-2.3	-2.5	-2.0		-2.0	-3.5									
Min Temp (deg C)	2012	1	30	4	1.14	-9.2	-9.5	-9.0	-9.0		-10.0									
Min Temp (deg C)	2012	1	31	4	1.14	-11.6	-12.5	-10.0	-13.5		-13.0									
Min Temp (deg C)	2012	2	1	4	1.21	-6.4	-6.2		-4.8		-7.0			-8.0						
Min Temp (deg C)	2012	2	2	4	1.21	-11.2	-11.2		-12.8		-11.5			-9.5						
Min Temp (deg C)	2012	2	3	4	1.14	-17.8	-17.8	-18.0	-18.0		-18.0									
Min Temp (deg C)	2012	2	4	4	1.21	-12.6	-15.7		-13.0		-12.0			-11.5						
Min Temp (deg C)	2012	2	17	4	1.12	0.9	1.2	1.0		1.0	0.0									
Min Temp (deg C)	2012	2	18	4	1.12	-0.5	-0.2	-0.5		-0.5	-1.0									
Min Temp (deg C)	2012	2	19	4	1.16	-6.6	-7.0		-7.2	-6.5	-7.0									
Min Temp (deg C)	2012	2	20	4	1.12	-10.8	-11.2	-10.0		-11.0	-11.5									
Min Temp (deg C)	2012	2	29	4	1.14	-19.6	-19.5	-20.0	-20.2		-19.0									
Min Temp (deg C)	2012	3	4	4	1.16	-6.4	-6.0		-6.0	-7.0	-7.0									
Min Temp (deg C)	2012	3	5	4	1.12	-16.1	-16.7	-16.0		-15.5	-16.5									
Min Temp (deg C)	2012	3	6	4	1.12	-17.2	-20.5	-15.5		-16.0	-18.5									
Min Temp (deg C)	2012	4	12	4	1.21	1.2	0.8		1.5		0.5			1.5						
Min Temp (deg C)	2012	4	28	4	1.21	-2.1	-2.0		-2.2		-2.5			-2.0						
Min Temp (deg C)	2012	4	29	4	1.21	-0.9	-1.2		-1.4		-0.5			-1.0						
Min Temp (deg C)	2012	5	19	4	1.16	9.6	10.0	9.5			11.0			8.5						
Min Temp (deg C)	2012	5	21	4	1.14	18.1	17.2	18.5	17.0		19.5									
Min Temp (deg C)	2012	7	7	4	1.16	21.4	21.7		21.4	22.0	19.5									
Min Temp (deg C)	2012	7	8	4	1.17	15.4	15.5			16.0	13.5			15.5						
Min Temp (deg C)	2012	8	1	4	1.16	18.1	17.5	19.5	16.0	17.5										
Min Temp (deg C)	2012	8	18	4	1.17	14.0	14.5	14.5		13.0				13.5						
Min Temp (deg C)	2012	8	19	4	1.16	8.7			9.0	7.5	9.5			8.5						
Min Temp (deg C)	2012	8	20	4	1.16	11.0	11.6		12.0	10.0	10.5									
Min Temp (deg C)	2012	8	21	4	1.17	10.8	11.7			9.0	11.0			13.0						
Min Temp (deg C)	2012	8	22	4	1.12	14.3	14.5	15.5		12.0	15.0									
Min Temp (deg C)	2012	8	23	4	1.12	15.1	14.8	16.0		13.5	16.0									
Min Temp (deg C)	2012	8	24	4	1.12	12.3	11.5	12.5		14.0	10.0									
Min Temp (deg C)	2012	8	25	4	1.16	14.0	14.2		13.0	14.0	14.0									
Min Temp (deg C)	2012	8	26	4	1.16	18.7	18.6		19.0	18.5	18.0									
Min Temp (deg C)	2012	11	24	4	1.12	-1.4	-0.2	-2.0		-2.0	-1.0									
Min Temp (deg C)	2012	12	1	4	1.16	-17.2	-16.3		-19.0	-17.0	-17.5									
Min Temp (deg C)	2012	12	2	4	1.12	-7.0	-6.0	-8.0		-6.0	-7.5									
Min Temp (deg C)	2012	12	3	4	1.12	1.8	2.0	1.5		3.0	0.5									
Min Temp (deg C)	2012	12	22	4	1.12	-5.8	-6.0	-5.0		-6.0	-7.0									
Min Temp (deg C)	2012	12	23	4	1.16	-8.9			-8.7	-8.0	-10.5			-8.5						
Min Temp (deg C)	2012	12	27	4	1.16	-11.2	-11.5	-11.0	-11.0	-11.0										
Min Temp (deg C)	2013	1	5	4	1.19	-12.5				-11.0		-14.6			-13.0			-12.5		
Min Temp (deg C)	2013	1	12	4	1.12	1.2	0.5	2.0		2.0	-1.0									
Min Temp (deg C)	2013	1	18	4	1.12	-20.0	-19.5	-19.0		-20.0	-22.5									
Min Temp (deg C)	2013	1	19	4	1.14	-13.0	-12.5	-13.0	-14.0		-13.0									
Min Temp (deg C)	2013	1	20	4	1.17	-9.2	-9.0			-9.0	-9.0			-10.5						
Min Temp (deg C)	2013	1	25	4	1.16	-20.0	-19.5		-20.1	-20.0	-21.0									
Min Temp (deg C)	2013	1	27	4	1.12	-17.8	-18.0	-17.5		-17.5	-18.5									
Min Temp (deg C)	2013	1	28	4	1.16	-16.4	-16.5	-16.0	-17.5	-16.0										
Min Temp (deg C)	2013	1	29	4	1.12	-12.5	-14.5	-11.0		-10.5	-16.5									
Min Temp (deg C)	2013	1	30	4	1.16	-4.5	-4.7		-4.8	-4.0	-6.0									
Min Temp (deg C)	2013	1	31	4	1.17	-5.3	-5.0			-4.0	-6.0			-8.0						
Min Temp (deg C)	2013	2	3	4	1.16	-16.0	-15.5		-16.8	-16.0	-16.5									
Min Temp (deg C)	2013	2	10	4	1.16	-24.8	-25.0		-27.0	-25.0	-23.5									
Min Temp (deg C)	2013	2	11	4	1.16	-13.7	-15.0		-16.8	-12.0	-14.0									
Min Temp (deg C)	2013	2	12	4	1.16	0.6	0.5		0.1	1.0	-0.5									
Min Temp (deg C)	2013	2	13	4	1.16	-1.4	-2.0		-1.6	-1.0	-2.5									
Min Temp (deg C)	2013	2	14	4	1.19	-2.0	-2.5			-2.0	-2.0	-3.0								
Min Temp (deg C)	2013	2	15	4	1.16	-1.4	-2.2		-2.0	-1.0	-2.0									
Min Temp (deg C)	2013	2	16	4	1.16	-8.9	-8.2		-9.0	-9.0	-10.0									
Min Temp (deg C)	2013	2	17	4	1.16	-13.6	-14.0		-14.0	-13.0	-15.0									
Min Temp (deg C)	2013	2	18	4	1.16	-15.7	-15.5		-16.0	-16.0	-16.0									
Min Temp (deg C)	2013	2	19	4	1.16	-12.7	-13.5		-13.5	-12.0	-13.5									
Min Temp (deg C)	2013	3	2	4	1.12	-3.0	-1.6	-3.0		-4.0	-3.0									
Min Temp (deg C)	2013	3	3	4	1.16	-5.3	-4.5		-6.0	-6.0	-5.0									
Min Temp (deg C)	2013	4	28	4	1.16	1.3	1.0		1.8	1.0	1.0									
Min Temp (deg C)	2013	5	30	4	1.16	15.8	16.5		17.0	15.0	15.0									
Min Temp (deg C)	2013	5	31	4	1.2	18.7	19.0		19.0	17.0				20.5						
Min Temp (deg C)	2013	6	9	4	1.2	14.1	14.2		14.0	14.0				14.0						
Min Temp (deg C)	2013	6	20	4	1.16	9.1	9.0		8.0	9.0	9.5									
Min Temp (deg C)	2013	7	8	4	1.16	16.7	17.4		17.5	16.0	16.0									
Min Temp (deg C)	2013	7	16	4	1.22	19.7			19.0	19.0		20.0		20.0						
Min Temp (deg C)	2013	8	7	4	1.12	12.3	11.4	12.0		13.0	13.0									
Min Temp (deg C)	2013	8	16	4	1.21	13.0	13.0		13.6		12.0			13.0						
Min Temp (deg C)	2013	8	29	4	1.16	15.3	15.5	15.0	16.5	15.0										
Min Temp (deg C)	2013	9	15	4	1.16	6.8	6.4		7.5	6.0	7.0									
Min Temp (deg C)	2013	9	24	4	1.12	6.1	6.5	6.5		6.0	5.0									
Min Temp (deg C)	2013	10	13	4	1.17	7.8	7.0			8.0	5.5			10.5						
Min Temp (deg C)	2013	10	22	4	1.16	6.8	7.0		6.0	7.0	6.0									
Min Temp (deg C)	2013	10	31	4	1.12	-1.2	-2.2	-1.0		-1.0	-1.0									
Min Temp (deg C)	2013	11	9	4	1.12	-0.4		-0.5	0.5	-1.0	-0.5									
Min Temp (deg C)	2013	12	13	4	1.26	-17.5				-17.0		-19.0				-21.0	-17.5			
Min Temp (deg C)	2013	12	14	4	1.16	-26.0	-27.2		-24.6	-26.0	-27.0									
Min Temp (deg C)	2013	12	29	4	1.12	-9.8	-9.5	-10.5		-9.0	-10.0									
Mean Temp (deg C)	2000	1	1	4	0.76	-5.4	-6.5	-5.3	-6.8	-3.0										
Mean Temp (deg C)	2000	2	1	4	0.76	-4.3	-4.5	-3.3	-4.0	-6.0										
Mean Temp (deg C)	2000	2	2	4	0.76	-14.7	-14.5	-14.5	-15.0	-15.0										
Mean Temp (deg C)	2000	2	3	4	0.76	-17.2	-18.5	-16.8	-17.3	-16.0										
Mean Temp (deg C)	2000	2	4	4	0.76	-19.5	-20.8	-19.0	-21.8	-16.5										
Mean Temp (deg C)	2000	2	5	4	0.76	-16.3	-16.5	-15.8	-18.0	-15.3										
Mean Temp (deg C)	2000	2	6	4	0.76	-11.0	-12.5	-9.0	-14.5	-10.0										
Mean Temp (deg C)	2000	2	7	4	0.76	-7.8	-8.0	-6.8	-9.0	-8.5										
Mean Temp (deg C)	2000	2	8	4	0.76	-16.2	-16.0	-15.3	-18.5	-16.0										
Mean Temp (deg C)	2000	2	9	4	0.76	-6.1	-7.0	-4.5	-9.5	-5.3										
Mean Temp (deg C)	2000	2	10	4	0.76	-13.5	-15.3	-13.0	-13.3	-12.0										
Mean Temp (deg C)	2000	2	11	4	0.76	-8.7	-9.0	-8.5	-9.3	-8.0										
Mean Temp (deg C)	2000	2	12	4	0.76	-17.6	-20.0	-15.8	-20.5	-15.3										
Mean Temp (deg C)	2000	5	31	4	0.76	17.6	18.3	17.0	17.8	17.5										
Mean Temp (deg C)	2000	6	2	4	0.76	17.1	16.5	16.8	17.8	18.0										
Mean Temp (deg C)	2000	6	3	4	0.76	15.0	14.5	15.3	14.5	15.3										
Mean Temp (deg C)	2000	6	10	4	0.76	12.9	12.5	13.5	14.0	11.5										
Mean Temp (deg C)	2000	6	11	4	0.76	10.2	10.0	10.5	9.8	10.0										
Mean Temp (deg C)	2000	6	12	4	0.76	13.4	13.0	13.5	13.5	13.5										
Mean Temp (deg C)	2000	6	13	4	0.76	14.8	15.0	14.8	14.0	14.8										
Mean Temp (deg C)	2000	6	14	4	0.76	15.6	16.0	15.3	16.0	15.3										
Mean Temp (deg C)	2000	6	15	4	0.76	19.9	20.8	19.0	20.5	19.8										
Mean Temp (deg C)	2000	6	16	4	0.76	24.0	24.0	23.8	24.0	24.0										
Mean Temp (deg C)	2000	6	17	4	0.76	22.3	21.5	22.8	21.3	22.8										
Mean Temp (deg C)	2000	6	21	4	0.76	19.5	19.8	19.5	19.0	19.3										
Mean Temp (deg C)	2000	6	22	4	0.76	23.0	22.5	23.0	23.0	23.5										
Mean Temp (deg C)	2000	6	23	4	0.76	19.6	19.5	19.8	19.0	19.8										
Mean Temp (deg C)	2000	6	24	4	0.76	18.2	18.3	17.8	18.3	18.5										
Mean Temp (deg C)	2000	6	25	4	0.76	22.1	21.5	22.3	22.0	22.5										
Mean Temp (deg C)	2000	6	26	4	0.76	23.7	24.0	23.3	24.0	23.8										
Mean Temp (deg C)	2000	6	27	4	0.76	23.2	23.0	23.0	22.8	24.0										
Mean Temp (deg C)	2000	6	28	4	0.76	19.1	18.3	19.5	19.0	19.5										
Mean Temp (deg C)	2000	6	29	4	0.76	19.8	20.0	19.8	19.5	19.8										
Mean Temp (deg C)	2000	7	1	4	0.76	19.2	19.0	19.0	19.3	19.8										
Mean Temp (deg C)	2000	7	2	4	0.76	22.2	21.0	23.0	21.3	22.8										
Mean Temp (deg C)	2000	7	3	4	0.76	20.2	18.5	19.8	22.3	21.5										
Mean Temp (deg C)	2000	7	4	4	0.76	22.3	21.8	22.3	22.0	22.8										
Mean Temp (deg C)	2000	7	5	4	0.76	17.0	17.0	17.0	16.0	17.5										
Mean Temp (deg C)	2000	7	6	4	0.76	16.5	16.0	17.0	15.8	16.8										
Mean Temp (deg C)	2000	7	7	4	0.76	15.5	14.5	16.8	14.8	15.0										
Mean Temp (deg C)	2000	7	8	4	0.76	17.3	17.5	17.3	16.0	17.8										
Mean Temp (deg C)	2000	7	9	4	0.76	16.2	16.0	16.0	15.8	17.0										
Mean Temp (deg C)	2000	7	10	4	0.76	19.7	19.0	20.0	19.0	20.3										
Mean Temp (deg C)	2000	7	11	4	0.76	17.7	16.5	18.0	17.3	19.0										
Mean Temp (deg C)	2000	7	12	4	0.76	19.5	19.0	20.3	19.0	18.8										
Mean Temp (deg C)	2000	7	13	4	0.76	20.9	20.0	21.5	20.8	21.0										
Mean Temp (deg C)	2000	7	14	4	0.76	21.8	21.8	21.5	22.5	21.8										
Mean Temp (deg C)	2000	7	15	4	0.76	21.3	20.8	21.3	22.0	21.3										
Mean Temp (deg C)	2000	7	16	4	0.76	20.6	20.3	20.8	20.8	20.3										
Mean Temp (deg C)	2000	7	17	4	0.76	20.6	20.3	20.8	20.8	20.5										
Mean Temp (deg C)	2000	7	18	4	0.76	21.5	21.5	22.0	20.5	21.3										
Mean Temp (deg C)	2000	7	19	4	0.76	16.4	16.0	17.0	16.0	16.0										
Mean Temp (deg C)	2000	7	20	4	0.76	15.6	15.0	16.0	15.5	15.5										
Mean Temp (deg C)	2000	7	21	4	0.76	17.6	17.8	17.3	17.0	18.0										
Mean Temp (deg C)	2000	7	22	4	0.76	17.6	17.3	18.3	17.5	16.8										
Mean Temp (deg C)	2000	7	23	4	0.76	18.9	18.3	19.0	18.8	19.5										
Mean Temp (deg C)	2000	7	24	4	0.76	20.8	20.0	21.5	21.0	20.0										
Mean Temp (deg C)	2000	7	25	4	0.76	21.1	21.0	20.8	22.0	20.8										
Mean Temp (deg C)	2000	7	26	4	0.76	21.8	20.8	22.0	22.3	22.0										
Mean Temp (deg C)	2000	7	27	4	0.76	20.6	20.0	20.5	20.8	21.0										
Mean Temp (deg C)	2000	7	28	4	0.76	21.9	22.3	21.8	22.3	21.0										
Mean Temp (deg C)	2000	7	29	4	0.76	22.2	22.0	22.0	23.3	22.0										
Mean Temp (deg C)	2000	7	30	4	0.76	21.8	21.8	21.8	21.8	21.8										
Mean Temp (deg C)	2000	7	31	4	0.76	21.4	21.0	21.3	21.8	21.5										
Mean Temp (deg C)	2000	8	1	4	0.76	19.8	18.8	20.0	20.0	20.3										
Mean Temp (deg C)	2000	8	2	4	0.76	23.2	22.5	23.3	24.0	23.3										
Mean Temp (deg C)	2000	8	3	4	0.76	23.8	23.0	24.3	23.5	24.0										
Mean Temp (deg C)	2000	8	4	4	0.76	18.2	17.0	18.3	17.8	19.8										
Mean Temp (deg C)	2000	8	5	4	0.76	18.9	18.0	18.8	19.0	20.0										
Mean Temp (deg C)	2000	8	6	4	0.76	18.5	18.8	18.5	18.5	17.8										
Mean Temp (deg C)	2000	8	7	4	0.76	21.8	22.0	21.5	21.8	22.0										
Mean Temp (deg C)	2000	8	8	4	0.76	21.4	21.5	21.0	21.3	22.0										
Mean Temp (deg C)	2000	8	9	4	0.76	22.1	21.5		22.0	22.3	21.8									
Mean Temp (deg C)	2000	8	10	4	0.76	21.4	21.5		21.3	21.0	21.5									
Mean Temp (deg C)	2000	8	11	4	0.76	18.7	18.3		19.3	18.5	18.3									
Mean Temp (deg C)	2000	8	12	4	0.76	20.3	19.5	20.5	21.0	20.5										
Mean Temp (deg C)	2000	8	13	4	0.76	18.6	18.5	18.5	18.8	18.8										
Mean Temp (deg C)	2000	8	14	4	0.76	20.2	20.3	20.0	20.5	20.0										
Mean Temp (deg C)	2000	8	15	4	0.76	21.7	22.0	21.5	21.5	21.8										
Mean Temp (deg C)	2000	8	16	4	0.76	20.9	21.5	20.8	20.0	20.8										
Mean Temp (deg C)	2000	8	17	4	0.76	14.0	14.0	14.3	13.5	13.8										
Mean Temp (deg C)	2000	8	18	4	0.76	15.2	15.0	15.3	15.0	15.3										
Mean Temp (deg C)	2000	8	19	4	0.76	17.2	18.0	17.0	17.0	16.5										
Mean Temp (deg C)	2000	8	20	4	0.76	14.9	15.3	15.0	14.3	14.3										
Mean Temp (deg C)	2000	8	21	4	0.76	16.6	15.8	17.0	16.0	17.0										
Mean Temp (deg C)	2000	8	22	4	0.76	17.6	17.3	18.5	16.5	17.0										
Mean Temp (deg C)	2000	8	23	4	0.76	16.3	16.0	16.5	16.0	16.5										
Mean Temp (deg C)	2000	8	24	4	0.76	18.7	18.3	18.8	18.8	19.0										
Mean Temp (deg C)	2000	8	25	4	0.76	19.8	19.5	20.5	19.0	19.5										
Mean Temp (deg C)	2000	8	26	4	0.76	19.9	21.0	19.5	19.0	19.5										
Mean Temp (deg C)	2000	8	27	4	0.76	19.7	19.0	20.0	19.8	19.8										
Mean Temp (deg C)	2000	8	28	4	0.76	14.5	14.3	14.5	14.0	14.8										
Mean Temp (deg C)	2000	9	26	4	0.76	8.4	8.0	8.5	8.5	8.5										
Mean Temp (deg C)	2000	11	16	4	0.76	3.2	2.5	3.3	3.3	3.8										
Mean Temp (deg C)	2000	11	17	4	0.76	3.5	3.5	3.5	3.3	3.5										
Mean Temp (deg C)	2000	11	18	4	0.76	-0.6	-0.8	0.0	-1.5	-0.5										
Mean Temp (deg C)	2001	3	9	4	0.76	-0.2	-0.8	-0.3	1.0	0.0										
Mean Temp (deg C)	2001	8	25	4	0.76	15.4	15.3	15.3	15.8	15.3										
Mean Temp (deg C)	2004	9	25	4	0.76	19.0	19.0	19.3	18.8	18.3										
Mean Temp (deg C)	2005	11	13	4	0.76	7.3	7.0	7.0	8.0	7.5										
Mean Temp (deg C)	2005	11	17	4	0.76	3.1	2.3	2.8	2.0	5.5										
Mean Temp (deg C)	2005	11	18	4	0.76	-3.2	-4.0	-2.8	-4.0	-2.3										
Mean Temp (deg C)	2005	11	22	4	0.76	1.1	1.0	1.5	1.3	0.5										
Mean Temp (deg C)	2005	11	23	4	0.76	-5.9	-6.3	-5.5	-6.5	-5.3										
Mean Temp (deg C)	2005	11	29	4	0.76	12.8	10.3	13.8	14.5	13.0										
Mean Temp (deg C)	2005	12	1	4	0.76	2.6	1.8	3.0	1.8	3.5										
Mean Temp (deg C)	2005	12	2	4	0.76	0.1	0.3	0.5	0.0	-0.8										
Mean Temp (deg C)	2005	12	6	4	0.76	-4.1	-4.5	-3.5	-4.5	-4.3										
Mean Temp (deg C)	2005	12	7	4	0.76	-8.6	-8.5	-8.0	-9.8	-8.8										
Mean Temp (deg C)	2005	12	14	4	0.76	-19.4	-19.5	-18.8	-20.0	-19.5										
Mean Temp (deg C)	2005	12	15	4	0.76	-14.7	-16.0	-13.8	-13.5	-15.0										
Mean Temp (deg C)	2005	12	16	4	0.76	-7.6	-8.0	-7.3	-6.8	-8.0										
Mean Temp (deg C)	2005	12	17	4	0.76	-3.4	-4.5	-2.3	-5.0	-2.8										
Mean Temp (deg C)	2005	12	18	4	0.76	-3.8	-5.0	-3.3	-3.5	-3.3										
Mean Temp (deg C)	2005	12	19	4	0.76	-5.3	-6.0	-4.5	-6.0	-5.0										
Mean Temp (deg C)	2005	12	20	4	0.76	-5.5	-5.5	-4.5	-6.3	-6.8										
Mean Temp (deg C)	2005	12	21	4	0.76	-15.3	-17.5	-13.5	-15.5	-15.3										
Mean Temp (deg C)	2005	12	22	4	0.76	-8.6	-10.3	-5.5	-11.3	-10.0										
Mean Temp (deg C)	2005	12	23	4	0.76	-0.9	-1.8	-0.3	-1.0	-0.5										
Mean Temp (deg C)	2005	12	24	4	0.76	1.1	0.8	1.5	0.8	1.0										
Mean Temp (deg C)	2005	12	25	4	0.76	1.2	0.5	1.5	1.5	1.3										
Mean Temp (deg C)	2005	12	26	4	0.76	-2.9	-3.3	-2.7	-2.0	-3.3										
Mean Temp (deg C)	2005	12	27	4	0.76	-7.8	-7.5	-7.8	-7.5	-8.0										
Mean Temp (deg C)	2005	12	28	4	0.76	-4.4	-5.0	-2.5	-5.0	-6.5										
Mean Temp (deg C)	2005	12	29	4	0.76	-0.2	-0.8	-0.3	0.5	0.3										
Mean Temp (deg C)	2005	12	30	4	0.76	-7.7	-10.0	-6.8	-8.0	-6.0										
Mean Temp (deg C)	2005	12	31	4	0.76	-15.6	-16.5	-15.8	-16.3	-13.0										
Mean Temp (deg C)	2006	1	1	4	0.76	-9.7	-10.0	-9.8	-9.8	-9.0										
Mean Temp (deg C)	2006	1	2	4	0.76	-6.7	-7.3	-6.5	-6.5	-6.0										
Mean Temp (deg C)	2006	1	3	4	0.76	-10.2	-11.0	-9.0	-9.8	-11.3										
Mean Temp (deg C)	2006	1	4	4	0.76	-9.5	-9.5	-8.5	-10.3	-10.5										
Mean Temp (deg C)	2006	1	5	4	0.76	-3.1	-3.0	-2.8	-3.5	-3.3										
Mean Temp (deg C)	2006	1	6	4	0.76	-6.7	-6.5	-6.0	-7.3	-7.5										
Mean Temp (deg C)	2006	1	7	4	0.76	-13.1	-15.0	-12.3	-12.5	-12.3										
Mean Temp (deg C)	2006	1	8	4	0.76	-6.7	-8.0	-6.5	-6.0	-5.8										
Mean Temp (deg C)	2006	1	9	4	0.76	-3.7	-4.0	-3.5	-3.5	-3.5										
Mean Temp (deg C)	2006	1	10	4	0.76	-2.3	-3.5	-1.0	-2.5	-2.8										
Mean Temp (deg C)	2006	1	11	4	0.76	-1.9	-2.5	-0.8	-3.0	-2.0										
Mean Temp (deg C)	2006	1	12	4	0.76	2.7	1.5	3.5	3.0	2.5										
Mean Temp (deg C)	2006	1	13	4	0.76	3.7	3.0	4.3	5.0	2.8										
Mean Temp (deg C)	2006	1	14	4	0.76	2.0	0.5	2.0	4.5	2.0										
Mean Temp (deg C)	2006	1	15	4	0.76	-14.0	-14.5	-13.3	-14.3	-14.0										
Mean Temp (deg C)	2006	1	16	4	0.76	-14.4	-13.8	-14.3	-15.3	-14.5										
Mean Temp (deg C)	2006	1	17	4	0.76	-5.9	-5.3	-5.0	-7.0	-7.5										
Mean Temp (deg C)	2006	1	18	4	0.76	-1.2	-1.0	-1.5	0.3	-1.8										
Mean Temp (deg C)	2006	1	19	4	0.76	0.3	0.5	0.5	0.5	-0.3										
Mean Temp (deg C)	2006	1	20	4	0.76	1.4	0.5	1.5	1.8	2.0										
Mean Temp (deg C)	2006	1	21	4	0.76	-0.5	-0.8	0.0	0.3	-1.5										
Mean Temp (deg C)	2006	1	22	4	0.76	-7.9	-9.8	-6.5	-8.3	-7.3										
Mean Temp (deg C)	2006	1	23	4	0.76	-4.1	-4.3	-4.3	-4.3	-3.3										
Mean Temp (deg C)	2006	1	24	4	0.76	-1.9	-3.0	-1.3	-1.5	-1.8										
Mean Temp (deg C)	2006	1	25	4	0.76	-0.0	-0.3	0.3	-0.3	0.0										
Mean Temp (deg C)	2006	1	26	4	0.76	-8.2	-7.0	-8.3	-8.3	-9.3										
Mean Temp (deg C)	2006	1	27	4	0.76	-6.7	-7.0	-6.3	-8.5	-5.5										
Mean Temp (deg C)	2006	1	28	4	0.76	0.4	-0.5	1.0	1.0	0.3										
Mean Temp (deg C)	2006	1	29	4	0.76	-2.7	-3.3	-3.3	-2.3	-0.8										
Mean Temp (deg C)	2006	1	30	4	0.76	-2.6	-2.5	-2.8	-1.8	-2.8										
Mean Temp (deg C)	2006	1	31	4	0.76	-1.6	-1.8	-1.5	-0.8	-1.8										
Mean Temp (deg C)	2006	2	1	4	0.76	-2.8	-3.0	-3.0	-2.5	-2.3										
Mean Temp (deg C)	2006	2	2	4	0.76	-1.0	-0.8	-1.0	-0.3	-1.5										
Mean Temp (deg C)	2006	2	3	4	0.76	1.4	1.0	1.0	4.0	1.0										
Mean Temp (deg C)	2006	2	4	4	0.76	3.3	2.8	3.5	4.0	3.0										
Mean Temp (deg C)	2006	2	5	4	0.76	3.0	3.3	2.5	4.0	2.8										
Mean Temp (deg C)	2006	2	6	4	0.76	-5.4	-6.0	-5.8	-4.8	-4.0										
Mean Temp (deg C)	2006	2	7	4	0.76	-7.9	-7.8	-7.8	-8.3	-7.8										
Mean Temp (deg C)	2006	2	8	4	0.76	-9.0	-9.5	-8.5	-9.5	-8.8										
Mean Temp (deg C)	2006	2	9	4	0.76	-12.3	-12.8	-12.0	-12.3	-11.8										
Mean Temp (deg C)	2006	2	10	4	0.76	-14.0	-15.3	-14.0	-14.0	-12.0										
Mean Temp (deg C)	2006	2	11	4	0.76	-11.8	-11.8	-12.0	-11.8	-11.0										
Mean Temp (deg C)	2006	2	12	4	0.74	-11.2	-12.0	-10.8		-10.8	-11.5									
Mean Temp (deg C)	2006	2	13	4	0.76	-8.2	-9.5	-7.0	-9.0	-7.8										
Mean Temp (deg C)	2006	2	14	4	0.76	-2.7	-2.5	-2.5	-2.5	-3.5										
Mean Temp (deg C)	2006	2	15	4	0.76	1.1	0.0	1.3	1.5	1.8										
Mean Temp (deg C)	2006	2	16	4	0.76	-2.0	-5.0	-0.8	0.5	-2.0										
Mean Temp (deg C)	2006	2	17	4	0.76	-2.0	-3.0	-1.3	-2.0	-1.8										
Mean Temp (deg C)	2006	2	18	4	0.74	-15.6	-17.0	-15.5		-13.3	-17.3									
Mean Temp (deg C)	2006	2	19	4	0.74	-11.4	-12.0	-11.0		-10.8	-12.0									
Mean Temp (deg C)	2006	2	20	4	0.76	-5.6	-6.5	-5.0	-6.0	-5.0										
Mean Temp (deg C)	2006	2	21	4	0.76	-4.2	-4.5	-3.8	-4.0	-4.5										
Mean Temp (deg C)	2006	2	22	4	0.76	-4.6	-4.5	-5.0	-3.8	-4.5										
Mean Temp (deg C)	2006	2	23	4	0.76	-0.8	-1.5	-0.5	-0.8	-0.5										
