VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	MARIEVILLE	ST HYACINTHE 2	IBERVILLE	FARNHAM	SABREVOIS	STE MADELEINE	FLEURY	ST GUILLAUME	STE MARTINE	GRANBY	ST NAZAIRE	DRUMMONDVILLE	PHILIPSBURG	ST BERNARD DE LACOLLE	RICHMOND
Max Temp (deg C)	2006	1	16	4	0.9	-9.7	-9.5	-9.0	-11.5	-10.0										
Max Temp (deg C)	2006	1	17	4	0.9	4.1	5.0	4.5	4.0	1.5										
Max Temp (deg C)	2006	1	18	4	0.9	5.6	5.5	5.0	8.0	5.0										
Max Temp (deg C)	2006	1	19	4	0.9	3.0	3.0	3.5	3.0	2.0										
Max Temp (deg C)	2006	1	20	4	0.9	5.2	4.0	5.5	6.5	5.5										
Max Temp (deg C)	2006	1	21	4	0.9	1.3	1.0	1.5	2.0	1.0										
Max Temp (deg C)	2006	1	22	4	0.9	-3.0	-6.0	-1.0	-3.5	-2.0										
Max Temp (deg C)	2006	1	23	4	0.9	0.2	0.0	0.5	0.0	0.5										
Max Temp (deg C)	2006	1	24	4	0.9	1.5	1.0	1.5	2.0	2.5										
Max Temp (deg C)	2006	1	25	4	0.9	1.2	1.0	1.5	1.0	1.5										
Max Temp (deg C)	2006	1	26	4	0.9	-6.0	-4.0	-7.0	-5.5	-7.0										
Max Temp (deg C)	2006	1	27	4	0.9	1.1	2.0	0.5	1.0	1.5										
Max Temp (deg C)	2006	1	28	4	0.9	5.4	4.0	6.0	6.0	6.5										
Max Temp (deg C)	2006	1	29	4	0.9	-0.4	-0.5	-1.5	0.5	3.0										
Max Temp (deg C)	2006	1	30	4	0.9	0.0	1.0	-0.5	0.0	0.0										
Max Temp (deg C)	2006	1	31	4	0.9	2.0	1.5	2.0	3.0	2.0										
Max Temp (deg C)	2006	2	1	4	0.9	-0.8	-1.0	-1.0	-0.5	0.0										
Max Temp (deg C)	2006	2	2	4	0.9	3.8	4.0	3.5	5.5	3.0										
Max Temp (deg C)	2006	2	3	4	0.9	5.7	5.0	6.0	6.0	6.0										
Max Temp (deg C)	2006	2	4	4	0.9	4.7	4.5	4.5	6.0	5.0										
Max Temp (deg C)	2006	2	5	4	0.9	5.0	5.5	4.0	7.0	5.0										
Max Temp (deg C)	2006	2	6	4	0.9	-4.4	-5.0	-5.0	-3.0	-2.0										
Max Temp (deg C)	2006	2	7	4	0.9	-6.2	-6.0	-6.0	-7.0	-6.0										
Max Temp (deg C)	2006	2	8	4	0.9	-7.2	-7.0	-7.0	-8.0	-7.0										
Max Temp (deg C)	2006	2	9	4	0.9	-9.7	-10.5	-9.5	-9.5	-8.0										
Max Temp (deg C)	2006	2	10	4	0.9	-10.8	-11.5	-11.0	-11.0	-8.0										
Max Temp (deg C)	2006	2	11	4	0.9	-5.9	-6.0	-6.0	-5.5	-5.5										
Max Temp (deg C)	2006	2	12	4	0.9	-7.6	-8.0	-7.5	-7.0	-7.0										
Max Temp (deg C)	2006	2	13	4	0.9	-2.6	-3.0	-2.0	-3.0	-3.0										
Max Temp (deg C)	2006	2	14	4	0.9	2.0	2.0	2.5	2.0	0.5										
Max Temp (deg C)	2006	2	15	4	0.9	6.0	4.5	6.5	7.0	7.0										
Max Temp (deg C)	2006	2	16	4	0.9	5.3	0.0	7.5	10.0	5.0										
Max Temp (deg C)	2006	2	17	4	0.9	7.2	6.0	7.5	8.0	8.0										
Max Temp (deg C)	2006	2	18	4	0.89	-13.6	-15.0	-14.0		-8.0	-16.0									
Max Temp (deg C)	2006	2	19	4	0.9	-5.3	-6.0	-5.0	-5.0	-4.5										
Max Temp (deg C)	2006	2	20	4	0.9	-2.3	-3.0	-2.0	-2.0	-1.5										
Max Temp (deg C)	2006	2	21	4	0.9	-2.1	-2.0	-2.0	-2.0	-2.0										
Max Temp (deg C)	2006	2	22	4	0.9	0.1	0.0	0.5	0.5	-1.0										
Max Temp (deg C)	2006	2	23	4	0.9	0.9	0.0	1.0	1.5	2.0										
Max Temp (deg C)	2006	2	24	4	0.9	-2.0	-2.2	-2.0	-3.0	0.0										
Max Temp (deg C)	2006	2	25	4	0.9	-10.2	-11.0	-10.0	-9.5	-9.0										
Max Temp (deg C)	2006	2	26	4	0.9	-9.4	-9.0	-9.0	-10.0	-10.0										
Max Temp (deg C)	2006	2	27	4	0.9	-11.3	-12.0	-11.0	-11.5	-10.0										
Max Temp (deg C)	2006	2	28	4	0.9	-9.0	-10.0	-8.5	-8.0	-9.0										
Max Temp (deg C)	2006	3	1	4	0.9	-5.2	-7.0	-4.5	-5.0	-3.0										
Max Temp (deg C)	2006	3	2	4	0.9	-1.6	-1.0	-1.5	-3.0	-1.5										
