VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	ST HYACINTHE 2	FLEURY	STE MADELEINE	MARIEVILLE	ST GUILLAUME	ST NAZAIRE	IBERVILLE	FARNHAM	DRUMMONDVILLE	SABREVOIS	ST AMABLE	GRANBY	PIERREVILLE	DANVILLE	STE MARTINE	PHILIPSBURG	ST BERNARD DE LACOLLE	VERCHERES
Max Temp (deg C)	2011	3	3	4	0.9	-11.1	-12.0	-10.0	-11.0			-9.5											
Max Temp (deg C)	2011	3	4	4	0.9	2.8	3.0	3.0	3.0			2.0											
Max Temp (deg C)	2011	3	5	4	0.91	6.7	6.0	7.0		6.5		7.0											
Max Temp (deg C)	2011	3	6	4	0.91	-2.1	-3.0	-2.0		-2.0		-1.5											
Max Temp (deg C)	2011	3	7	4	0.9	-5.3	-6.0	-5.0	-5.0			-4.0											
Max Temp (deg C)	2011	3	8	4	0.9	-5.2	-4.5	-5.0	-6.0			-4.0											
Max Temp (deg C)	2011	3	9	4	0.9	0.4	0.0	1.0	1.0			0.0											
Max Temp (deg C)	2011	3	10	4	0.9	3.8	3.0	3.0	5.0			4.0											
Max Temp (deg C)	2011	3	11	4	0.9	6.5	7.0	5.0	7.0			6.5											
Max Temp (deg C)	2011	3	12	4	0.9	3.2	3.5	3.0	3.0			3.5											
Max Temp (deg C)	2011	3	13	4	0.9	3.6	4.0	4.5	3.0			3.5											
Max Temp (deg C)	2011	3	14	4	0.87	0.7	0.5	2.0	0.0		1.0												
Max Temp (deg C)	2011	3	15	4	0.94	4.1	4.0	4.5		2.5	4.0												
Max Temp (deg C)	2011	3	16	4	0.9	3.7	3.0	4.0	4.0			4.0											
Max Temp (deg C)	2011	3	17	4	0.9	9.4	8.0	10.0	10.0			10.0											
Max Temp (deg C)	2011	3	18	4	0.87	10.4	10.0	11.0	11.0		9.0												
Max Temp (deg C)	2011	3	19	4	0.87	0.9	1.0	1.5	1.0		0.0												
Max Temp (deg C)	2011	3	20	4	0.87	3.9	4.0	4.5	4.0		3.0												
Max Temp (deg C)	2011	3	21	4	0.87	3.1	3.0	2.5	3.0		3.5												
Max Temp (deg C)	2011	3	22	4	0.9	4.2	4.0	5.0	4.0			4.5											
Max Temp (deg C)	2011	3	23	4	0.9	-1.1	-1.0	-1.0	-1.0			-1.0											
Max Temp (deg C)	2011	3	24	4	0.9	1.7	2.5	2.5	1.0			1.5											
Max Temp (deg C)	2011	3	25	4	0.9	-0.9	-0.5	-0.5	-1.0			-1.0											
Max Temp (deg C)	2011	3	26	4	0.9	0.7	0.5	1.0	1.0			0.5											
Max Temp (deg C)	2011	3	27	4	0.9	-1.4	-1.0	-0.5	-2.0			-1.0											
Max Temp (deg C)	2011	3	28	4	0.87	0.5	1.5	1.0	0.0		0.0												
Max Temp (deg C)	2011	3	29	4	0.9	4.7	5.0	5.5	4.0			5.0											
Max Temp (deg C)	2011	3	30	4	0.87	7.9	8.0	8.5	8.0		7.0												
Max Temp (deg C)	2011	3	31	4	0.9	9.5	8.5	9.5	10.0			10.0											
Max Temp (deg C)	2011	4	1	4	0.88	4.7	4.0	5.5	5.0	4.0													
Max Temp (deg C)	2011	4	2	4	0.9	11.0	11.0	11.5	10.0			12.0											
Max Temp (deg C)	2011	4	3	4	0.9	9.5	9.5	10.0	9.0			10.0											
Max Temp (deg C)	2011	4	4	4	0.9	11.0	11.0	11.5	11.0			10.0											
Max Temp (deg C)	2011	4	5	4	0.9	6.0	6.0	5.5	6.0			7.0											
Max Temp (deg C)	2011	4	6	4	0.9	4.7	4.0	4.5	5.0			5.5											
Max Temp (deg C)	2011	4	7	4	0.9	8.1	8.0	8.5	8.0			8.0											
Max Temp (deg C)	2011	4	8	4	0.87	11.6	11.5	12.5	12.0		10.0												
Max Temp (deg C)	2011	4	9	4	0.9	14.6	14.0	15.0	14.5			15.0											
Max Temp (deg C)	2011	4	10	4	0.9	17.3	17.0	18.0	17.0			17.0											
Max Temp (deg C)	2011	4	11	4	0.9	20.8	20.0	21.0	21.0			20.5											
Max Temp (deg C)	2011	4	12	4	0.9	14.2	14.0	14.5	14.0			14.0											
Max Temp (deg C)	2011	4	13	4	0.9	9.0	10.0	10.0	8.0			8.0											
Max Temp (deg C)	2011	4	14	4	0.9	9.3	9.5	9.5	9.0			9.0											
Max Temp (deg C)	2011	4	15	4	0.9	3.1	2.5	4.5	3.0			3.0											
Max Temp (deg C)	2011	4	16	4	0.9	7.8	7.0	8.5	8.0			8.0											
Max Temp (deg C)	2011	4	17	4	0.9	9.4	9.5	9.5	9.0			10.0											
Max Temp (deg C)	2011	4	18	4	0.9	5.2	5.0	5.5	5.0			6.0											
Max Temp (deg C)	2011	4	19	4	0.9	8.8	8.0	9.5	9.0			9.0											
