Station Name	QUEBEC/JEAN LESAGE INTL A
Province	QUEBEC
Latitude	46.8
Longitude	-71.38
Elevation	74.4
Climate Identifier	7016294

Created by	WHAT Beta 4.0.5
Created on	14/12/2014

*** FILL PROCEDURE INFO ***

MLR model	Least Absolute Deviations
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	1
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	1985/01/01
Date End	2005/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Max Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.63		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Min Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.61		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.45		3645 (99.8 % of filled)	8 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Total Precip (mm)	1764 (23.0 % of total)	1764 (100.0 % of missing)		1.0	3.26		1739 (98.6 % of filled)	3 (0.2 % of filled)	11 (0.6 % of filled)	11 (0.6 % of filled)

TOTAL	12723 (41.5 % of total)	12723 (100.0 % of missing)		---	---		12676 (99.6 % of filled)	25 (0.2 % of filled)	11 (0.1 % of filled)	11 (0.1 % of filled)


*** DETAILED REPORT ***

VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	QUEBEC/JEAN LESAGE INTL A	QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Max Temp (deg C)	1996	9	30	1	0.62	13.8	13.8			
Max Temp (deg C)	1996	10	1	1	0.62	11.7	11.7			
Max Temp (deg C)	1996	10	2	1	0.62	17.8	17.8			
Max Temp (deg C)	1996	10	3	1	0.62	12.8	12.8			
Max Temp (deg C)	1996	10	4	1	0.62	8.0	8.0			
Max Temp (deg C)	1996	10	5	1	0.62	9.4	9.4			
Max Temp (deg C)	1996	10	6	1	0.62	16.2	16.2			
Max Temp (deg C)	1996	10	7	1	0.62	14.5	14.5			
Max Temp (deg C)	1996	10	8	1	0.62	12.7	12.7			
Max Temp (deg C)	1996	10	9	1	0.62	9.5	9.5			
Max Temp (deg C)	1996	10	10	1	0.62	9.4	9.4			
Max Temp (deg C)	1996	10	11	1	0.62	7.7	7.7			
Max Temp (deg C)	1996	10	12	1	0.62	8.4	8.4			
Max Temp (deg C)	1996	10	13	1	0.62	8.3	8.3			
Max Temp (deg C)	1996	10	14	1	0.62	12.8	12.8			
Max Temp (deg C)	1996	10	15	1	0.62	5.8	5.8			
Max Temp (deg C)	1996	10	16	1	0.62	5.2	5.2			
Max Temp (deg C)	1996	10	17	1	0.62	9.0	9.0			
Max Temp (deg C)	1996	10	18	1	0.62	9.6	9.6			
Max Temp (deg C)	1996	10	19	1	0.62	11.6	11.6			
Max Temp (deg C)	1996	10	20	1	0.62	10.6	10.6			
Max Temp (deg C)	1996	10	21	1	0.62	10.5	10.5			
Max Temp (deg C)	1996	10	22	1	0.62	8.5	8.5			
Max Temp (deg C)	1996	10	23	1	0.62	9.7	9.7			
Max Temp (deg C)	1996	10	24	1	0.62	13.1	13.1			
Max Temp (deg C)	1996	10	25	1	0.62	11.1	11.1			
Max Temp (deg C)	1996	10	26	1	0.62	11.1	11.1			
Max Temp (deg C)	1996	10	27	1	0.62	10.4	10.4			
Max Temp (deg C)	1996	10	28	1	0.62	11.1	11.1			
Max Temp (deg C)	1996	10	29	1	0.62	6.1	6.1			
Max Temp (deg C)	1996	10	30	1	0.62	2.6	2.6			
Max Temp (deg C)	1996	10	31	1	0.62	7.2	7.2			
Max Temp (deg C)	1996	11	1	1	0.62	4.6	4.6			
Max Temp (deg C)	1996	11	2	1	0.62	3.4	3.4			
Max Temp (deg C)	1996	11	3	1	0.62	0.6	0.6			
Max Temp (deg C)	1996	11	4	1	0.62	3.1	3.1			
Max Temp (deg C)	1996	11	5	1	0.62	4.9	4.9			
Max Temp (deg C)	1996	11	6	1	0.62	4.2	4.2			
Max Temp (deg C)	1996	11	7	1	0.62	9.7	9.7			
Max Temp (deg C)	1996	11	8	1	0.62	19.2	19.2			
Max Temp (deg C)	1996	11	9	1	0.62	19.9	19.9			
Max Temp (deg C)	1996	11	10	1	0.62	6.8	6.8			
Max Temp (deg C)	1996	11	11	1	0.62	2.9	2.9			
Max Temp (deg C)	1996	11	12	1	0.62	1.0	1.0			
Max Temp (deg C)	1996	11	13	1	0.62	-1.3	-1.3			
Max Temp (deg C)	1996	11	14	1	0.62	-2.6	-2.6			
Max Temp (deg C)	1996	11	15	1	0.62	-2.0	-2.0			
Max Temp (deg C)	1996	11	16	1	0.62	-0.3	-0.3			
Max Temp (deg C)	1996	11	17	1	0.62	5.4	5.4			
Max Temp (deg C)	1996	11	18	1	0.62	4.7	4.7			
Max Temp (deg C)	1996	11	19	1	0.62	2.8	2.8			
Max Temp (deg C)	1996	11	20	1	0.62	1.6	1.6			
Max Temp (deg C)	1996	11	21	1	0.62	2.9	2.9			
Max Temp (deg C)	1996	11	22	1	0.62	3.1	3.1			
Max Temp (deg C)	1996	11	23	1	0.62	0.4	0.4			
Max Temp (deg C)	1996	11	24	1	0.62	-8.7	-8.7			
Max Temp (deg C)	1996	11	25	1	0.62	-5.3	-5.3			
Max Temp (deg C)	1996	11	26	1	0.62	-2.2	-2.2			
Max Temp (deg C)	1996	11	27	1	0.62	-3.8	-3.8			
Max Temp (deg C)	1996	11	28	1	0.62	-3.3	-3.3			
Max Temp (deg C)	1996	11	29	1	0.62	-2.5	-2.5			
Max Temp (deg C)	1996	11	30	1	0.62	-0.9	-0.9			
Max Temp (deg C)	1996	12	1	1	0.62	5.3	5.3			
Max Temp (deg C)	1996	12	2	1	0.62	6.6	6.6			
Max Temp (deg C)	1996	12	3	1	0.62	3.1	3.1			
Max Temp (deg C)	1996	12	4	1	0.62	2.3	2.3			
Max Temp (deg C)	1996	12	5	1	0.62	-0.7	-0.7			
Max Temp (deg C)	1996	12	6	1	0.62	-2.9	-2.9			
Max Temp (deg C)	1996	12	7	1	0.62	-0.3	-0.3			
Max Temp (deg C)	1996	12	8	1	0.62	0.5	0.5			
Max Temp (deg C)	1996	12	9	1	0.62	0.4	0.4			
Max Temp (deg C)	1996	12	10	1	0.62	-2.9	-2.9			
Max Temp (deg C)	1996	12	11	1	0.62	-2.4	-2.4			
Max Temp (deg C)	1996	12	12	1	0.62	-0.4	-0.4			
Max Temp (deg C)	1996	12	13	1	0.62	0.3	0.3			
Max Temp (deg C)	1996	12	14	1	0.62	1.5	1.5			
Max Temp (deg C)	1996	12	15	1	0.62	2.2	2.2			
Max Temp (deg C)	1996	12	16	1	0.62	2.7	2.7			
Max Temp (deg C)	1996	12	17	1	0.62	3.2	3.2			
Max Temp (deg C)	1996	12	18	1	0.62	4.3	4.3			
Max Temp (deg C)	1996	12	19	1	0.62	1.6	1.6			
Max Temp (deg C)	1996	12	20	1	0.62	-1.5	-1.5			
Max Temp (deg C)	1996	12	21	1	0.62	-3.9	-3.9			
Max Temp (deg C)	1996	12	22	1	0.62	-1.9	-1.9			
Max Temp (deg C)	1996	12	23	1	0.62	0.0	0.0			
Max Temp (deg C)	1996	12	24	1	0.62	4.5	4.5			
Max Temp (deg C)	1996	12	25	1	0.62	2.0	2.0			
Max Temp (deg C)	1996	12	26	1	0.62	-7.2	-7.2			
Max Temp (deg C)	1996	12	27	1	0.62	-4.8	-4.8			
Max Temp (deg C)	1996	12	28	1	0.62	-2.4	-2.4			
Max Temp (deg C)	1996	12	29	1	0.62	0.2	0.2			
Max Temp (deg C)	1996	12	30	1	0.62	-3.8	-3.8			
Max Temp (deg C)	1996	12	31	1	0.62	-19.8	-19.8			
Max Temp (deg C)	1997	1	1	1	0.62	-15.8	-15.8			
Max Temp (deg C)	1997	1	2	1	0.62	-9.6	-9.6			
Max Temp (deg C)	1997	1	3	1	0.62	-8.1	-8.1			
Max Temp (deg C)	1997	1	4	1	0.62	-4.7	-4.7			
Max Temp (deg C)	1997	1	5	1	0.62	-3.7	-3.7			
Max Temp (deg C)	1997	1	6	1	0.62	-0.1	-0.1			
Max Temp (deg C)	1997	1	7	1	0.62	-7.6	-7.6			
Max Temp (deg C)	1997	1	8	1	0.62	-11.1	-11.1			
Max Temp (deg C)	1997	1	9	1	0.62	-7.7	-7.7			
Max Temp (deg C)	1997	1	10	1	0.62	-3.4	-3.4			
Max Temp (deg C)	1997	1	11	1	0.62	-4.1	-4.1			
Max Temp (deg C)	1997	1	12	1	0.62	-9.3	-9.3			
Max Temp (deg C)	1997	1	13	1	0.62	-5.7	-5.7			
Max Temp (deg C)	1997	1	14	1	0.62	-5.2	-5.2			
Max Temp (deg C)	1997	1	15	1	0.62	-2.4	-2.4			
Max Temp (deg C)	1997	1	16	1	0.62	1.0	1.0			
Max Temp (deg C)	1997	1	17	1	0.62	-15.0	-15.0			
Max Temp (deg C)	1997	1	18	1	0.62	-23.6	-23.6			
Max Temp (deg C)	1997	1	19	1	0.62	-10.3	-10.3			
Max Temp (deg C)	1997	1	20	1	0.62	-6.4	-6.4			
Max Temp (deg C)	1997	1	21	1	0.62	-11.4	-11.4			
Max Temp (deg C)	1997	1	22	1	0.62	5.1	5.1			
Max Temp (deg C)	1997	1	23	1	0.62	4.7	4.7			
Max Temp (deg C)	1997	1	24	1	0.62	-10.5	-10.5			
Max Temp (deg C)	1997	1	25	1	0.62	1.4	1.4			
Max Temp (deg C)	1997	1	26	1	0.62	-4.1	-4.1			
Max Temp (deg C)	1997	1	27	1	0.62	-12.7	-12.7			
Max Temp (deg C)	1997	1	28	1	0.62	-5.8	-5.8			
Max Temp (deg C)	1997	1	29	1	0.62	-14.8	-14.8			
Max Temp (deg C)	1997	1	30	1	0.62	-17.4	-17.4			
Max Temp (deg C)	1997	1	31	1	0.62	-7.3	-7.3			
Max Temp (deg C)	1997	2	1	1	0.62	-4.0	-4.0			
Max Temp (deg C)	1997	2	2	1	0.62	-5.3	-5.3			
Max Temp (deg C)	1997	2	3	1	0.62	-0.6	-0.6			
Max Temp (deg C)	1997	2	4	1	0.62	-7.1	-7.1			
Max Temp (deg C)	1997	2	5	1	0.62	-3.9	-3.9			
Max Temp (deg C)	1997	2	6	1	0.62	-2.8	-2.8			
Max Temp (deg C)	1997	2	7	1	0.62	-5.4	-5.4			
Max Temp (deg C)	1997	2	8	1	0.62	-14.5	-14.5			
Max Temp (deg C)	1997	2	9	1	0.62	-11.4	-11.4			
Max Temp (deg C)	1997	2	10	1	0.62	-2.9	-2.9			
Max Temp (deg C)	1997	2	11	1	0.62	-11.3	-11.3			
Max Temp (deg C)	1997	2	12	1	0.62	-5.4	-5.4			
Max Temp (deg C)	1997	2	13	1	0.62	-12.8	-12.8			
Max Temp (deg C)	1997	2	14	1	0.62	-4.6	-4.6			
Max Temp (deg C)	1997	2	15	1	0.62	-1.8	-1.8			
Max Temp (deg C)	1997	2	16	1	0.62	-15.9	-15.9			
Max Temp (deg C)	1997	2	17	1	0.62	-14.5	-14.5			
Max Temp (deg C)	1997	2	18	1	0.62	2.8	2.8			
Max Temp (deg C)	1997	2	19	1	0.62	3.2	3.2			
Max Temp (deg C)	1997	2	20	1	0.62	-6.7	-6.7			
Max Temp (deg C)	1997	2	21	1	0.62	-0.2	-0.2			
Max Temp (deg C)	1997	2	22	1	0.62	-4.4	-4.4			
Max Temp (deg C)	1997	2	23	1	0.62	-9.6	-9.6			
Max Temp (deg C)	1997	2	24	1	0.62	-8.6	-8.6			
Max Temp (deg C)	1997	2	25	1	0.62	-14.6	-14.6			
Max Temp (deg C)	1997	2	26	1	0.62	1.3	1.3			
Max Temp (deg C)	1997	2	27	1	0.62	2.5	2.5			
Max Temp (deg C)	1997	2	28	1	0.62	0.0	0.0			
Max Temp (deg C)	1997	3	1	1	0.62	0.9	0.9			
Max Temp (deg C)	1997	3	2	1	0.62	5.4	5.4			
Max Temp (deg C)	1997	3	3	1	0.62	-6.4	-6.4			
Max Temp (deg C)	1997	3	4	1	0.62	-6.4	-6.4			
Max Temp (deg C)	1997	3	5	1	0.62	-0.9	-0.9			
Max Temp (deg C)	1997	3	6	1	0.62	-2.9	-2.9			
Max Temp (deg C)	1997	3	7	1	0.62	-8.1	-8.1			
Max Temp (deg C)	1997	3	8	1	0.62	-4.6	-4.6			
Max Temp (deg C)	1997	3	9	1	0.62	-8.9	-8.9			
Max Temp (deg C)	1997	3	10	1	0.62	0.9	0.9			
Max Temp (deg C)	1997	3	11	1	0.62	1.5	1.5			
Max Temp (deg C)	1997	3	12	1	0.62	-4.4	-4.4			
Max Temp (deg C)	1997	3	13	1	0.62	-9.5	-9.5			
Max Temp (deg C)	1997	3	14	1	0.62	-5.5	-5.5			
Max Temp (deg C)	1997	3	15	1	0.62	-2.1	-2.1			
Max Temp (deg C)	1997	3	16	1	0.62	-7.7	-7.7			
Max Temp (deg C)	1997	3	17	1	0.62	-5.4	-5.4			
Max Temp (deg C)	1997	3	18	1	0.62	-3.1	-3.1			
Max Temp (deg C)	1997	3	19	1	0.62	-0.5	-0.5			
Max Temp (deg C)	1997	3	20	1	0.62	2.2	2.2			
Max Temp (deg C)	1997	3	21	1	0.62	-1.8	-1.8			
Max Temp (deg C)	1997	3	22	1	0.62	-0.4	-0.4			
Max Temp (deg C)	1997	3	23	1	0.62	-4.7	-4.7			
Max Temp (deg C)	1997	3	24	1	0.62	-5.4	-5.4			
Max Temp (deg C)	1997	3	25	1	0.62	2.7	2.7			
Max Temp (deg C)	1997	3	26	1	0.62	3.7	3.7			
Max Temp (deg C)	1997	3	27	1	0.62	1.8	1.8			
Max Temp (deg C)	1997	3	28	1	0.62	11.1	11.1			
Max Temp (deg C)	1997	3	29	1	0.62	6.2	6.2			
Max Temp (deg C)	1997	3	30	1	0.62	1.5	1.5			
Max Temp (deg C)	1997	3	31	1	0.62	-1.9	-1.9			
Max Temp (deg C)	1997	4	1	1	0.62	1.6	1.6			
Max Temp (deg C)	1997	4	2	1	0.62	6.1	6.1			
Max Temp (deg C)	1997	4	3	1	0.62	6.5	6.5			
Max Temp (deg C)	1997	4	4	1	0.62	7.0	7.0			
Max Temp (deg C)	1997	4	5	1	0.62	8.7	8.7			
Max Temp (deg C)	1997	4	6	1	0.62	5.2	5.2			
Max Temp (deg C)	1997	4	7	1	0.62	6.4	6.4			
Max Temp (deg C)	1997	4	8	1	0.62	0.5	0.5			
Max Temp (deg C)	1997	4	9	1	0.62	-2.6	-2.6			
Max Temp (deg C)	1997	4	10	1	0.62	2.2	2.2			
Max Temp (deg C)	1997	4	11	1	0.62	4.2	4.2			
Max Temp (deg C)	1997	4	12	1	0.62	6.0	6.0			
Max Temp (deg C)	1997	4	13	1	0.62	1.4	1.4			
Max Temp (deg C)	1997	4	14	1	0.62	3.9	3.9			
Max Temp (deg C)	1997	4	15	1	0.62	4.5	4.5			
Max Temp (deg C)	1997	4	16	1	0.62	8.6	8.6			
Max Temp (deg C)	1997	4	17	1	0.62	4.1	4.1			
Max Temp (deg C)	1997	4	18	1	0.62	2.8	2.8			
Max Temp (deg C)	1997	4	19	1	0.62	5.1	5.1			
Max Temp (deg C)	1997	4	20	1	0.62	7.9	7.9			
Max Temp (deg C)	1997	4	21	1	0.62	8.8	8.8			
Max Temp (deg C)	1997	4	22	1	0.62	9.5	9.5			
Max Temp (deg C)	1997	4	23	1	0.62	9.9	9.9			
Max Temp (deg C)	1997	4	24	1	0.62	7.8	7.8			
Max Temp (deg C)	1997	4	25	1	0.62	8.1	8.1			
Max Temp (deg C)	1997	4	26	1	0.62	10.3	10.3			
Max Temp (deg C)	1997	4	27	1	0.62	13.5	13.5			
Max Temp (deg C)	1997	4	28	1	0.62	6.6	6.6			
Max Temp (deg C)	1997	4	29	1	0.62	10.4	10.4			
Max Temp (deg C)	1997	4	30	1	0.62	17.3	17.3			
Max Temp (deg C)	1997	5	1	1	0.62	9.4	9.4			
Max Temp (deg C)	1997	5	2	1	0.62	9.2	9.2			
Max Temp (deg C)	1997	5	3	1	0.62	6.3	6.3			
Max Temp (deg C)	1997	5	4	1	0.62	7.5	7.5			
Max Temp (deg C)	1997	5	5	1	0.62	13.8	13.8			
Max Temp (deg C)	1997	5	6	1	0.62	11.6	11.6			
Max Temp (deg C)	1997	5	7	1	0.62	5.0	5.0			
Max Temp (deg C)	1997	5	8	1	0.62	10.3	10.3			
Max Temp (deg C)	1997	5	9	1	0.62	7.5	7.5			
Max Temp (deg C)	1997	5	10	1	0.62	11.9	11.9			
Max Temp (deg C)	1997	5	11	1	0.62	10.9	10.9			
Max Temp (deg C)	1997	5	12	1	0.62	11.6	11.6			
Max Temp (deg C)	1997	5	13	1	0.62	16.0	16.0			
Max Temp (deg C)	1997	5	14	1	0.62	13.2	13.2			
Max Temp (deg C)	1997	5	15	1	0.62	15.3	15.3			
Max Temp (deg C)	1997	5	16	1	0.62	11.8	11.8			
Max Temp (deg C)	1997	5	17	1	0.62	9.6	9.6			
Max Temp (deg C)	1997	5	18	1	0.62	12.4	12.4			
Max Temp (deg C)	1997	5	19	1	0.62	15.3	15.3			
Max Temp (deg C)	1997	5	20	1	0.62	12.5	12.5			
Max Temp (deg C)	1997	5	21	1	0.62	12.0	12.0			
Max Temp (deg C)	1997	5	22	1	0.62	13.4	13.4			
Max Temp (deg C)	1997	5	23	1	0.62	16.2	16.2			
Max Temp (deg C)	1997	5	24	1	0.62	15.9	15.9			
Max Temp (deg C)	1997	5	25	1	0.62	15.1	15.1			
Max Temp (deg C)	1997	5	26	1	0.62	9.4	9.4			
Max Temp (deg C)	1997	5	27	1	0.62	19.3	19.3			
Max Temp (deg C)	1997	5	28	1	0.62	22.6	22.6			
Max Temp (deg C)	1997	5	29	1	0.62	23.8	23.8			
Max Temp (deg C)	1997	5	30	1	0.62	22.8	22.8			
Max Temp (deg C)	1997	5	31	1	0.62	22.0	22.0			
Max Temp (deg C)	1997	6	1	1	0.62	17.2	17.2			
Max Temp (deg C)	1997	6	2	1	0.62	20.2	20.2			
Max Temp (deg C)	1997	6	3	1	0.62	20.3	20.3			
Max Temp (deg C)	1997	6	4	1	0.62	19.2	19.2			
Max Temp (deg C)	1997	6	5	1	0.62	16.2	16.2			
Max Temp (deg C)	1997	6	6	1	0.62	17.5	17.5			
Max Temp (deg C)	1997	6	7	1	0.62	21.0	21.0			
Max Temp (deg C)	1997	6	8	1	0.62	26.9	26.9			
Max Temp (deg C)	1997	6	9	1	0.62	28.7	28.7			
Max Temp (deg C)	1997	6	10	1	0.62	31.6	31.6			
Max Temp (deg C)	1997	6	11	1	0.62	26.8	26.8			
Max Temp (deg C)	1997	6	12	1	0.62	19.5	19.5			
Max Temp (deg C)	1997	6	13	1	0.62	24.5	24.5			
Max Temp (deg C)	1997	6	14	1	0.62	18.9	18.9			
Max Temp (deg C)	1997	6	15	1	0.62	21.1	21.1			
Max Temp (deg C)	1997	6	16	1	0.62	27.3	27.3			
Max Temp (deg C)	1997	6	17	1	0.62	19.1	19.1			
Max Temp (deg C)	1997	6	18	1	0.62	17.1	17.1			
Max Temp (deg C)	1997	6	19	1	0.62	23.5	23.5			
Max Temp (deg C)	1997	6	20	1	0.62	23.4	23.4			
Max Temp (deg C)	1997	6	21	1	0.62	24.0	24.0			
Max Temp (deg C)	1997	6	22	1	0.62	25.6	25.6			
Max Temp (deg C)	1997	6	23	1	0.62	24.3	24.3			
Max Temp (deg C)	1997	6	24	1	0.62	25.5	25.5			
Max Temp (deg C)	1997	6	25	1	0.62	16.3	16.3			
Max Temp (deg C)	1997	6	26	1	0.62	25.4	25.4			
Max Temp (deg C)	1997	6	27	1	0.62	24.9	24.9			
Max Temp (deg C)	1997	6	28	1	0.62	28.2	28.2			
Max Temp (deg C)	1997	6	29	1	0.62	29.6	29.6			
Max Temp (deg C)	1997	6	30	1	0.62	30.3	30.3			
Max Temp (deg C)	1997	7	1	1	0.62	30.8	30.8			
Max Temp (deg C)	1997	7	2	1	0.62	30.7	30.7			
Max Temp (deg C)	1997	7	3	1	0.62	19.0	19.0			
Max Temp (deg C)	1997	7	4	1	0.62	19.4	19.4			
Max Temp (deg C)	1997	7	5	1	0.62	22.3	22.3			
Max Temp (deg C)	1997	7	6	1	0.62	26.0	26.0			
Max Temp (deg C)	1997	7	7	1	0.62	24.1	24.1			
Max Temp (deg C)	1997	7	8	1	0.62	20.1	20.1			
Max Temp (deg C)	1997	7	9	1	0.62	20.4	20.4			
Max Temp (deg C)	1997	7	10	1	0.62	23.7	23.7			
Max Temp (deg C)	1997	7	11	1	0.62	28.4	28.4			
Max Temp (deg C)	1997	7	12	1	0.62	27.2	27.2			
Max Temp (deg C)	1997	7	13	1	0.62	20.6	20.6			
Max Temp (deg C)	1997	7	14	1	0.62	25.6	25.6			
Max Temp (deg C)	1997	7	15	1	0.62	25.3	25.3			
Max Temp (deg C)	1997	7	16	1	0.62	27.1	27.1			
Max Temp (deg C)	1997	7	17	1	0.62	27.5	27.5			
Max Temp (deg C)	1997	7	18	1	0.62	23.2	23.2			
Max Temp (deg C)	1997	7	19	1	0.62	14.7	14.7			
Max Temp (deg C)	1997	7	20	1	0.62	21.7	21.7			
Max Temp (deg C)	1997	7	21	1	0.62	23.4	23.4			
Max Temp (deg C)	1997	7	22	1	0.62	20.3	20.3			
Max Temp (deg C)	1997	7	23	1	0.62	23.7	23.7			
Max Temp (deg C)	1997	7	24	1	0.62	26.9	26.9			
Max Temp (deg C)	1997	7	25	1	0.62	27.4	27.4			
Max Temp (deg C)	1997	7	26	1	0.62	29.2	29.2			
Max Temp (deg C)	1997	7	27	1	0.62	29.3	29.3			
Max Temp (deg C)	1997	7	28	1	0.62	24.4	24.4			
Max Temp (deg C)	1997	7	29	1	0.62	23.7	23.7			
Max Temp (deg C)	1997	7	30	1	0.62	27.1	27.1			
Max Temp (deg C)	1997	7	31	1	0.62	25.1	25.1			
Max Temp (deg C)	1997	8	1	1	0.62	25.8	25.8			
Max Temp (deg C)	1997	8	2	1	0.62	24.2	24.2			
Max Temp (deg C)	1997	8	3	1	0.62	23.0	23.0			
Max Temp (deg C)	1997	8	4	1	0.62	22.6	22.6			
Max Temp (deg C)	1997	8	5	1	0.62	22.8	22.8			
Max Temp (deg C)	1997	8	6	1	0.62	22.3	22.3			
Max Temp (deg C)	1997	8	7	1	0.62	25.9	25.9			
Max Temp (deg C)	1997	8	8	1	0.62	28.2	28.2			
Max Temp (deg C)	1997	8	9	1	0.62	29.9	29.9			
Max Temp (deg C)	1997	8	10	1	0.62	30.5	30.5			
Max Temp (deg C)	1997	8	11	1	0.62	20.6	20.6			
Max Temp (deg C)	1997	8	12	1	0.62	22.4	22.4			
Max Temp (deg C)	1997	8	13	1	0.62	15.8	15.8			
Max Temp (deg C)	1997	8	14	1	0.62	21.6	21.6			
Max Temp (deg C)	1997	8	15	1	0.62	25.2	25.2			
Max Temp (deg C)	1997	8	16	1	0.62	25.6	25.6			
Max Temp (deg C)	1997	8	17	1	0.62	21.1	21.1			
Max Temp (deg C)	1997	8	18	1	0.62	19.5	19.5			
Max Temp (deg C)	1997	8	19	1	0.62	20.6	20.6			
Max Temp (deg C)	1997	8	20	1	0.62	23.0	23.0			
Max Temp (deg C)	1997	8	21	1	0.62	19.3	19.3			
Max Temp (deg C)	1997	8	22	1	0.62	14.8	14.8			
Max Temp (deg C)	1997	8	23	1	0.62	19.3	19.3			
Max Temp (deg C)	1997	8	24	1	0.62	20.9	20.9			
Max Temp (deg C)	1997	8	25	1	0.62	23.4	23.4			
Max Temp (deg C)	1997	8	26	1	0.62	24.3	24.3			
Max Temp (deg C)	1997	8	27	1	0.62	21.5	21.5			
Max Temp (deg C)	1997	8	28	1	0.62	23.2	23.2			
Max Temp (deg C)	1997	8	29	1	0.62	22.3	22.3			
Max Temp (deg C)	1997	8	30	1	0.62	20.7	20.7			
Max Temp (deg C)	1997	8	31	1	0.62	22.0	22.0			
Max Temp (deg C)	1997	9	1	1	0.62	24.6	24.6			
Max Temp (deg C)	1997	9	2	1	0.62	23.1	23.1			
Max Temp (deg C)	1997	9	3	1	0.62	14.8	14.8			
Max Temp (deg C)	1997	9	4	1	0.62	16.1	16.1			
Max Temp (deg C)	1997	9	5	1	0.62	21.7	21.7			
Max Temp (deg C)	1997	9	6	1	0.62	16.7	16.7			
Max Temp (deg C)	1997	9	7	1	0.62	20.7	20.7			
Max Temp (deg C)	1997	9	8	1	0.62	20.4	20.4			
Max Temp (deg C)	1997	9	9	1	0.62	18.8	18.8			
Max Temp (deg C)	1997	9	10	1	0.62	18.1	18.1			
Max Temp (deg C)	1997	9	11	1	0.62	19.9	19.9			
Max Temp (deg C)	1997	9	12	1	0.62	21.1	21.1			
Max Temp (deg C)	1997	9	13	1	0.62	21.5	21.5			
Max Temp (deg C)	1997	9	14	1	0.62	19.1	19.1			
Max Temp (deg C)	1997	9	15	1	0.62	18.9	18.9			
Max Temp (deg C)	1997	9	16	1	0.62	15.4	15.4			
Max Temp (deg C)	1997	9	17	1	0.62	18.6	18.6			
Max Temp (deg C)	1997	9	18	1	0.62	21.0	21.0			
Max Temp (deg C)	1997	9	19	1	0.62	19.5	19.5			
Max Temp (deg C)	1997	9	20	1	0.62	17.8	17.8			
Max Temp (deg C)	1997	9	21	1	0.62	11.5	11.5			
Max Temp (deg C)	1997	9	22	1	0.62	16.2	16.2			
Max Temp (deg C)	1997	9	23	1	0.62	12.8	12.8			
Max Temp (deg C)	1997	9	24	1	0.62	9.2	9.2			
Max Temp (deg C)	1997	9	25	1	0.62	14.6	14.6			
Max Temp (deg C)	1997	9	26	1	0.62	10.8	10.8			
Max Temp (deg C)	1997	9	27	1	0.62	14.6	14.6			
Max Temp (deg C)	1997	9	28	1	0.62	19.4	19.4			
Max Temp (deg C)	1997	9	29	1	0.62	12.2	12.2			
Max Temp (deg C)	1997	9	30	1	0.62	14.3	14.3			
Max Temp (deg C)	1997	10	1	1	0.62	8.0	8.0			
Max Temp (deg C)	1997	10	2	1	0.62	9.6	9.6			
Max Temp (deg C)	1997	10	3	1	0.62	12.1	12.1			
Max Temp (deg C)	1997	10	4	1	0.62	14.4	14.4			
Max Temp (deg C)	1997	10	5	1	0.62	20.1	20.1			
Max Temp (deg C)	1997	10	6	1	0.62	21.1	21.1			
Max Temp (deg C)	1997	10	7	1	0.62	17.5	17.5			
Max Temp (deg C)	1997	10	8	1	0.62	12.9	12.9			
Max Temp (deg C)	1997	10	9	1	0.62	21.1	21.1			
Max Temp (deg C)	1997	10	10	1	0.62	19.9	19.9			
Max Temp (deg C)	1997	10	11	1	0.62	12.7	12.7			
Max Temp (deg C)	1997	10	12	1	0.62	11.4	11.4			
Max Temp (deg C)	1997	10	13	1	0.62	14.6	14.6			
Max Temp (deg C)	1997	10	14	1	0.62	17.3	17.3			
Max Temp (deg C)	1997	10	15	1	0.62	13.1	13.1			
Max Temp (deg C)	1997	10	16	1	0.62	11.7	11.7			
Max Temp (deg C)	1997	10	17	1	0.62	13.0	13.0			
Max Temp (deg C)	1997	10	18	1	0.62	11.7	11.7			
Max Temp (deg C)	1997	10	19	1	0.62	14.6	14.6			
Max Temp (deg C)	1997	10	20	1	0.62	10.9	10.9			
Max Temp (deg C)	1997	10	21	1	0.62	7.9	7.9			
Max Temp (deg C)	1997	10	22	1	0.62	3.5	3.5			
Max Temp (deg C)	1997	10	23	1	0.62	1.8	1.8			
