VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	SASKATOON INT'L A and RCS	OUTLOOK PFRA	SASKATOON WATER TP	SASKATOON SRC	VANSCOY COMINCO	BEAVER CREEK	SASKATOON CENTRAL AVE	SASKATOON 2	DUNDURN	GLENSIDE	SUTHERLAND	GRASSWOOD
Mean Temp (deg C)	2011	8	26	1	1.7	14.4	15.1										
Mean Temp (deg C)	2011	8	27	1	1.7	16.8	17.4										
Mean Temp (deg C)	2011	8	28	1	1.7	18.9	19.4										
Mean Temp (deg C)	2011	8	29	1	1.7	20.1	20.6										
Mean Temp (deg C)	2011	10	12	1	1.7	7.4	8.3										
Mean Temp (deg C)	2012	4	11	1	1.7	3.8	4.9										
Mean Temp (deg C)	2012	9	26	1	1.7	10.9	11.7										
Mean Temp (deg C)	2013	6	24	1	1.7	16.7	17.3										
Mean Temp (deg C)	2013	8	20	1	1.7	16.9	17.5										
Mean Temp (deg C)	2013	8	21	1	1.7	14.9	15.6										
Mean Temp (deg C)	2013	10	31	1	1.7	2.9	4.0										
Mean Temp (deg C)	2014	6	3	1	1.7	16.6	17.2										
Mean Temp (deg C)	2014	11	5	1	1.7	0.7	1.9										
Mean Temp (deg C)	2014	12	23	1	1.7	-7.0	-5.6										
Total Precip (mm)	1979	10	19	4	1.86	9.0		9.0	9.7			0.0	18.6				
Total Precip (mm)	1979	10	20	4	1.84	7.9			8.4	2.3		9.0	3.4				
Total Precip (mm)	1979	10	21	4	1.86	0.0		0.0	0.0			0.0	0.0				
Total Precip (mm)	1979	10	22	4	1.86	0.0		0.0	0.0			0.0	0.0				
Total Precip (mm)	1979	10	23	4	1.86	0.0		0.0	0.0			0.0	0.0				
Total Precip (mm)	1979	10	24	4	1.86	0.0		0.0	0.0			0.0	0.0				
Total Precip (mm)	1979	10	25	4	1.86	0.0		0.0	0.0			0.0	1.0				
Total Precip (mm)	1983	6	30	4	2.01	6.4			7.0			0.0	7.6				7.0
Total Precip (mm)	1992	12	1	4	2.78	0.0	0.0	0.4	0.0	0.0							
Total Precip (mm)	1992	12	4	4	2.78	0.0	0.0	0.0	0.0	0.0							
Total Precip (mm)	1992	12	11	4	2.78	0.0	0.0	0.0	0.0	0.0							
Total Precip (mm)	1992	12	18	4	2.78	0.3	0.0	0.0	0.4	0.0							
Total Precip (mm)	1992	12	24	4	2.78	0.2	0.4	0.0	0.2	0.0							
Total Precip (mm)	1992	12	25	4	2.61	0.1	0.8	0.0	0.0						1.2		
Total Precip (mm)	1992	12	27	4	2.78	0.6	0.6	0.4	0.8	0.0							
Total Precip (mm)	1992	12	29	4	2.61	1.8	4.2	2.2	2.0						4.0		
Total Precip (mm)	1992	12	30	4	2.61	0.2	0.0	0.0	0.2						0.0		
Total Precip (mm)	1992	12	31	4	2.78	0.0	0.0	0.0	0.0	0.0							
Total Precip (mm)	2007	7	3	3	2.55	0.0	0.0	0.0	0.0								
Total Precip (mm)	2007	8	17	3	2.55	41.9	5.6	24.5	48.2								
Total Precip (mm)	2007	8	18	3	2.55	1.5	12.8	57.0	0.2								
Total Precip (mm)	2007	8	19	2	2.72	27.6		1.2	32.0								
Total Precip (mm)	2007	8	20	3	2.55	1.9	0.0	3.0	2.2								
Total Precip (mm)	2007	8	21	3	2.55	1.9	0.0	0.0	2.2								
Total Precip (mm)	2007	12	19	2	4.06	0.5	0.0	1.0									
Total Precip (mm)	2008	4	23	1	4.89	0.3	0.5										
Total Precip (mm)	2008	9	10	1	4.89	0.0	0.0										
Total Precip (mm)	2008	10	31	1	4.54	0.0		0.0									
Total Precip (mm)	2008	11	19	1	4.89	0.0	0.0										
