VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	TORONTO LESTER B. PEARSON INT'L 	TORONTO BUTTONVILLE A	TORONTO	RICHMOND HILL	TORONTO ISLAND A	GEORGETOWN WWTP	TORONTO MALVERN	BRAMPTON MOE	TORONTO ELLESMERE	WOODBRIDGE
Total Precip (mm)	1992	12	29	4	2.79	5.7	4.0	6.4		6.4	6.8				
Total Precip (mm)	1992	12	31	4	2.79	0.5	0.0	0.0		1.2	0.0				
Total Precip (mm)	1993	1	10	4	2.79	8.3	5.8	7.4		6.7	15.0				
Total Precip (mm)	1993	1	24	4	2.79	6.5	6.2	8.0		8.2	3.6				
Total Precip (mm)	1993	2	8	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	2	21	4	2.79	15.3	10.8	23.4		13.2	25.0				
Total Precip (mm)	1993	3	10	4	2.79	1.6	3.0	1.0		1.6	0.0				
Total Precip (mm)	1993	3	13	4	2.79	3.7	3.0	6.2		4.4	3.0				
Total Precip (mm)	1993	3	20	4	2.79	3.7	5.3	4.2		4.6	0.0				
Total Precip (mm)	1993	3	22	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	4	9	4	2.79	5.8	6.5	7.0		5.2	6.2				
Total Precip (mm)	1993	4	10	4	2.79	5.4	6.2	3.6		6.2	3.0				
Total Precip (mm)	1993	4	12	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	4	14	4	2.79	0.0	0.0	0.2		0.0	0.2				
Total Precip (mm)	1993	4	15	4	2.79	0.9	0.8	0.0		0.2	2.4				
Total Precip (mm)	1993	4	20	4	2.79	15.6	24.6	6.8		10.2	15.4				
Total Precip (mm)	1993	4	30	4	2.79	3.3	4.0	0.0		4.8	0.0				
Total Precip (mm)	1993	5	3	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	5	5	4	2.79	8.3	5.4	14.8		13.6	1.6				
Total Precip (mm)	1993	6	6	4	2.79	0.5	0.0	1.0		0.0	2.0				
Total Precip (mm)	1993	6	25	4	2.79	14.5	14.0	20.4		15.3	13.6				
Total Precip (mm)	1993	7	11	4	2.79	4.4	3.2	2.0		5.0	5.0				
