VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	SASKATOON DIEFENBAKER & RCS	OUTLOOK PFRA	SASKATOON WATER TP	SASKATOON SRC	VANSCOY COMINCO	STRONGFIELD	BEAVER CREEK	CUTBANK	SASKATOON CENTRAL AVE	GLENSIDE	MARTENSVILLE	SASKATOON 2	GRASSWOOD
Min Temp (deg C)	2014	12	29	nan	nan	nan												
Min Temp (deg C)	2014	12	30	nan	nan	nan												
Min Temp (deg C)	2014	12	31	nan	nan	nan												
Mean Temp (deg C)	1983	6	30	4	0.88	18.2		18.3	18.0					19.0		17.8		
Mean Temp (deg C)	1992	12	1	4	0.9	-4.5		-3.8	-4.3	-4.5	-4.5							
Mean Temp (deg C)	1992	12	4	4	0.9	-14.6		-12.8	-14.5	-16.0	-12.5							
Mean Temp (deg C)	1992	12	11	4	1.1	-11.7		-9.8	-12.0	-9.0		-11.8						
Mean Temp (deg C)	1992	12	18	4	1.1	-24.1		-21.8	-22.5	-23.5		-22.5						
Mean Temp (deg C)	1992	12	24	4	1.1	-20.4		-18.5	-20.3	-15.5		-21.5						
Mean Temp (deg C)	1992	12	25	4	1.1	-22.0		-19.8	-19.3	-22.3		-20.8						
Mean Temp (deg C)	1992	12	27	4	1.1	-30.2		-28.8	-28.0	-28.5		-27.3						
Mean Temp (deg C)	1992	12	29	4	1.1	-33.6		-30.3	-32.3	-31.3		-33.0						
Mean Temp (deg C)	1992	12	30	4	1.1	-38.0		-34.0	-36.0	-37.3		-37.0						
Mean Temp (deg C)	1992	12	31	4	0.9	-36.7		-35.0	-35.8	-39.0	-36.5							
Mean Temp (deg C)	2007	7	2	2	1.01	20.1		22.5	19.9									
Mean Temp (deg C)	2007	7	3	2	1.01	21.0		22.8	21.0									
Mean Temp (deg C)	2007	7	19	2	1.01	23.7		25.8	23.5									
Mean Temp (deg C)	2007	7	23	2	1.01	27.0		29.0	26.8									
Mean Temp (deg C)	2007	8	18	2	1.01	15.3		16.3	15.6									
Mean Temp (deg C)	2007	8	19	2	1.01	17.4		18.0	17.9									
Mean Temp (deg C)	2007	8	20	2	1.01	16.5		17.8	16.7									
Mean Temp (deg C)	2007	8	21	2	1.01	16.1		16.5	16.7									
Mean Temp (deg C)	2007	11	6	2	1.01	-2.4		-1.5	-1.8									
Mean Temp (deg C)	2007	11	7	1	1.06	-1.6			-1.2									
Mean Temp (deg C)	2007	12	18	nan	nan	nan												
Mean Temp (deg C)	2007	12	19	1	1.44	-12.5		-10.8										
Mean Temp (deg C)	2008	4	18	2	1.37	4.5	4.8	7.8										
Mean Temp (deg C)	2008	4	19	2	1.37	-3.0	-1.6	-1.3										
Mean Temp (deg C)	2008	4	20	2	1.37	-0.9	-0.6	3.0										
Mean Temp (deg C)	2008	4	21	2	1.37	-8.4	-6.8	-6.5										
Mean Temp (deg C)	2008	9	10	1	1.51	10.0	10.7											
Mean Temp (deg C)	2008	9	11	1	1.51	13.5	14.1											
Mean Temp (deg C)	2008	10	31	2	1.37	3.2	3.9	6.0										
Mean Temp (deg C)	2008	11	30	1	1.51	-3.5	-2.4											
Mean Temp (deg C)	2008	12	1	2	1.37	-1.1	0.4	0.3										
Mean Temp (deg C)	2009	5	6	1	1.51	5.5	6.4											
Mean Temp (deg C)	2009	7	2	1	1.51	14.9	15.5											
Mean Temp (deg C)	2009	11	3	1	1.51	-0.7	0.4											
Mean Temp (deg C)	2010	6	29	1	1.51	21.5	21.9											
Mean Temp (deg C)	2010	9	13	1	1.51	7.5	8.3											
Mean Temp (deg C)	2011	4	27	1	1.51	8.8	9.6											
Mean Temp (deg C)	2011	7	26	1	1.51	19.3	19.8											
Mean Temp (deg C)	2011	8	26	1	1.51	14.5	15.1											
Mean Temp (deg C)	2011	8	27	1	1.51	16.9	17.4											
Mean Temp (deg C)	2011	8	28	1	1.51	18.9	19.4											
Mean Temp (deg C)	2011	8	29	1	1.51	20.2	20.6											
Mean Temp (deg C)	2011	10	12	1	1.51	7.5	8.3											
Mean Temp (deg C)	2012	4	11	1	1.51	4.0	4.9											
Mean Temp (deg C)	2012	9	26	1	1.51	11.0	11.7											
Mean Temp (deg C)	2013	6	24	1	1.51	16.8	17.3											
Mean Temp (deg C)	2013	8	20	1	1.51	17.0	17.5											
Mean Temp (deg C)	2013	8	21	1	1.51	15.0	15.6											
Mean Temp (deg C)	2013	10	31	1	1.51	3.1	4.0											
Mean Temp (deg C)	2014	6	3	1	1.51	16.7	17.2											
Mean Temp (deg C)	2014	11	5	1	1.51	0.9	1.9											
Mean Temp (deg C)	2014	11	12	1	1.51	-12.0	-10.6											
Mean Temp (deg C)	2014	11	19	nan	nan	nan												
Mean Temp (deg C)	2014	11	20	nan	nan	nan												
Mean Temp (deg C)	2014	11	21	nan	nan	nan												
Mean Temp (deg C)	2014	11	22	nan	nan	nan												
Mean Temp (deg C)	2014	11	23	nan	nan	nan												
Mean Temp (deg C)	2014	11	24	nan	nan	nan												
Mean Temp (deg C)	2014	11	25	nan	nan	nan												
Mean Temp (deg C)	2014	11	26	nan	nan	nan												
Mean Temp (deg C)	2014	11	27	nan	nan	nan												
Mean Temp (deg C)	2014	11	28	nan	nan	nan												
Mean Temp (deg C)	2014	11	29	nan	nan	nan												
Mean Temp (deg C)	2014	11	30	nan	nan	nan												
Mean Temp (deg C)	2014	12	1	nan	nan	nan												
Mean Temp (deg C)	2014	12	2	nan	nan	nan												
Mean Temp (deg C)	2014	12	3	nan	nan	nan												
Mean Temp (deg C)	2014	12	4	nan	nan	nan												
Mean Temp (deg C)	2014	12	5	nan	nan	nan												
Mean Temp (deg C)	2014	12	6	nan	nan	nan												
Mean Temp (deg C)	2014	12	7	nan	nan	nan												
Mean Temp (deg C)	2014	12	8	nan	nan	nan												
Mean Temp (deg C)	2014	12	9	nan	nan	nan												
Mean Temp (deg C)	2014	12	10	nan	nan	nan												
Mean Temp (deg C)	2014	12	11	nan	nan	nan												
Mean Temp (deg C)	2014	12	12	nan	nan	nan												
Mean Temp (deg C)	2014	12	13	nan	nan	nan												
Mean Temp (deg C)	2014	12	14	nan	nan	nan												
Mean Temp (deg C)	2014	12	15	nan	nan	nan												
Mean Temp (deg C)	2014	12	16	nan	nan	nan												
Mean Temp (deg C)	2014	12	17	nan	nan	nan												
Mean Temp (deg C)	2014	12	18	nan	nan	nan												
Mean Temp (deg C)	2014	12	19	nan	nan	nan												
Mean Temp (deg C)	2014	12	20	nan	nan	nan												
Mean Temp (deg C)	2014	12	21	nan	nan	nan												
Mean Temp (deg C)	2014	12	22	nan	nan	nan												
Mean Temp (deg C)	2014	12	23	nan	nan	nan												
Mean Temp (deg C)	2014	12	24	nan	nan	nan												
Mean Temp (deg C)	2014	12	25	nan	nan	nan												
Mean Temp (deg C)	2014	12	26	nan	nan	nan												
Mean Temp (deg C)	2014	12	27	nan	nan	nan												
Mean Temp (deg C)	2014	12	28	nan	nan	nan												
Mean Temp (deg C)	2014	12	29	nan	nan	nan												
Mean Temp (deg C)	2014	12	30	nan	nan	nan												
Mean Temp (deg C)	2014	12	31	nan	nan	nan												
Total Precip (mm)	1983	6	30	4	2.01	6.4			7.0					0.0			7.6	7.0
Total Precip (mm)	1992	12	1	4	2.95	0.0		0.4	0.0	0.0	0.0							
Total Precip (mm)	1992	12	4	4	2.95	0.0		0.0	0.0	0.0	0.0							
Total Precip (mm)	1992	12	11	4	2.95	0.0		0.0	0.0	0.0	0.0							
Total Precip (mm)	1992	12	18	4	2.95	0.2		0.0	0.4	0.0	0.0							
Total Precip (mm)	1992	12	24	4	2.95	0.4		0.0	0.2	0.0	3.0							
Total Precip (mm)	1992	12	25	4	2.91	0.0		0.0	0.0		0.0				1.2			
Total Precip (mm)	1992	12	27	4	2.95	0.5		0.4	0.8	0.0	0.0							
Total Precip (mm)	1992	12	29	4	2.91	2.8		2.2	2.0		14.0				4.0			
Total Precip (mm)	1992	12	30	4	2.91	0.1		0.0	0.2		0.0				0.0			
Total Precip (mm)	1992	12	31	4	2.95	0.0		0.0	0.0	0.0	0.0							
Total Precip (mm)	2007	7	3	2	2.93	0.0		0.0	0.0									
Total Precip (mm)	2007	8	17	2	2.93	42.2		24.5	48.2									
Total Precip (mm)	2007	8	18	2	2.93	1.4		57.0	0.2									
Total Precip (mm)	2007	8	19	2	2.93	27.7		1.2	32.0									
Total Precip (mm)	2007	8	20	2	2.93	2.0		3.0	2.2									
Total Precip (mm)	2007	8	21	2	2.93	1.9		0.0	2.2									
Total Precip (mm)	2007	12	19	1	4.69	0.6		1.0										
Total Precip (mm)	2008	4	23	1	5.51	0.4	0.5											
Total Precip (mm)	2008	9	10	1	5.51	0.0	0.0											
Total Precip (mm)	2008	10	31	1	4.69	0.0		0.0										
Total Precip (mm)	2008	11	19	1	5.51	0.0	0.0											
Total Precip (mm)	2008	11	20	2	5.53	0.0	0.0	0.0										
Total Precip (mm)	2008	11	21	2	5.53	0.0	0.0	0.0										
Total Precip (mm)	2008	11	29	1	5.51	0.8	1.1											
Total Precip (mm)	2008	11	30	2	3.21	0.3	0.0		0.3									
Total Precip (mm)	2009	5	6	2	3.0	0.4			0.4				1.1					
Total Precip (mm)	2009	7	2	2	3.21	0.0	0.0		0.0									
Total Precip (mm)	2009	10	28	1	3.04	0.0			0.0									
Total Precip (mm)	2009	11	3	2	3.21	0.0	0.0		0.0									
Total Precip (mm)	2009	11	4	2	3.21	0.0	0.0		0.0									
Total Precip (mm)	2010	1	20	nan	nan	nan												
Total Precip (mm)	2010	1	23	1	4.69	0.0		0.0										
Total Precip (mm)	2010	1	24	nan	nan	nan												
Total Precip (mm)	2010	1	25	nan	nan	nan												
Total Precip (mm)	2010	7	2	2	3.21	26.6	2.0		27.2									
Total Precip (mm)	2010	8	24	2	3.21	0.0	0.0		0.0									
Total Precip (mm)	2010	9	8	3	3.01	0.5	0.0		0.6				1.6					
Total Precip (mm)	2010	11	17	2	3.21	0.0	0.0		0.0									
Total Precip (mm)	2011	2	17	1	5.51	0.0	0.0											
Total Precip (mm)	2011	3	25	1	3.04	0.0			0.0									
Total Precip (mm)	2011	4	27	2	3.21	1.0	2.9		1.2									
Total Precip (mm)	2011	6	29	1	5.51	0.4	0.5											
Total Precip (mm)	2011	7	26	2	6.46	0.6	0.6						1.3					
Total Precip (mm)	2011	8	26	1	5.51	0.0	0.0											
Total Precip (mm)	2011	8	27	1	5.51	0.0	0.0											
Total Precip (mm)	2011	8	28	1	5.51	0.0	0.0											
Total Precip (mm)	2011	8	29	1	5.51	0.0	0.0											
Total Precip (mm)	2011	10	12	2	6.46	1.1	0.0						7.2					
Total Precip (mm)	2011	12	31	1	5.51	0.0	0.0											
Total Precip (mm)	2012	1	20	1	5.51	0.0	0.0											
Total Precip (mm)	2012	4	11	1	5.51	0.0	0.0											
Total Precip (mm)	2012	5	28	1	7.88	1.1							2.0					
Total Precip (mm)	2012	7	4	1	5.51	0.0	0.0											
Total Precip (mm)	2012	9	26	1	5.51	0.0	0.0											
Total Precip (mm)	2012	10	20	nan	nan	nan												
Total Precip (mm)	2013	1	23	1	5.51	0.0	0.0											
Total Precip (mm)	2013	6	24	2	6.46	0.6	0.0						4.2					
Total Precip (mm)	2013	6	29	nan	nan	nan												
Total Precip (mm)	2013	7	3	1	7.88	0.9							1.6					
Total Precip (mm)	2013	8	20	2	6.46	0.2	0.0						1.2					
Total Precip (mm)	2013	8	21	1	5.51	0.0	0.0											
Total Precip (mm)	2013	10	23	nan	nan	nan												
Total Precip (mm)	2013	10	31	1	5.51	0.0	0.0											
Total Precip (mm)	2014	2	6	1	5.51	0.0	0.0											
Total Precip (mm)	2014	6	3	1	5.51	0.2	0.3											
Total Precip (mm)	2014	9	24	1	5.51	0.0	0.0											
Total Precip (mm)	2014	11	5	1	5.51	0.0	0.0											
Total Precip (mm)	2014	11	12	1	5.51	0.1	0.2											
Total Precip (mm)	2014	11	19	nan	nan	nan												
Total Precip (mm)	2014	11	20	nan	nan	nan												
Total Precip (mm)	2014	11	21	nan	nan	nan												
Total Precip (mm)	2014	11	22	nan	nan	nan												
Total Precip (mm)	2014	11	23	nan	nan	nan												
Total Precip (mm)	2014	11	24	nan	nan	nan												
Total Precip (mm)	2014	11	25	nan	nan	nan												
Total Precip (mm)	2014	11	26	nan	nan	nan												
Total Precip (mm)	2014	11	27	nan	nan	nan												
Total Precip (mm)	2014	11	28	nan	nan	nan												
Total Precip (mm)	2014	11	29	nan	nan	nan												
Total Precip (mm)	2014	11	30	nan	nan	nan												
Total Precip (mm)	2014	12	1	nan	nan	nan												
Total Precip (mm)	2014	12	2	nan	nan	nan												
Total Precip (mm)	2014	12	3	nan	nan	nan												
Total Precip (mm)	2014	12	4	nan	nan	nan												
Total Precip (mm)	2014	12	5	nan	nan	nan												
Total Precip (mm)	2014	12	6	nan	nan	nan												
Total Precip (mm)	2014	12	7	nan	nan	nan												
